('bats', 'stab')
('loop', 'pool')
('pus', 'sup')
('spay', 'yaps')
('pot', 'top')
('agar', 'raga')
('eh', 'he')
('sleets', 'steels')
('levins', 'snivel')
('an', 'na')
('ho', 'oh')
('lobo', 'obol')
('animal', 'lamina')
('snoops', 'spoons')
('brad', 'darb')
('mus', 'sum')
('del', 'led')
('bots', 'stob')
('spirts', 'strips')
('reknits', 'stinker')
('saps', 'spas')
('amis', 'sima')
('rennet', 'tenner')
('pacer', 'recap')
('dart', 'trad')
('keets', 'steek')
('ducs', 'scud')
('bus', 'sub')
('but', 'tub')
('selahs', 'shales')
('port', 'trop')
('meet', 'teem')
('pals', 'slap')
('prat', 'tarp')
('degami', 'imaged')
('map', 'pam')
('tav', 'vat')
('lotos', 'sotol')
('cod', 'doc')
('dexes', 'sexed')
('don', 'nod')
('ray', 'yar')
('auks', 'skua')
('diaper', 'repaid')
('decal', 'laced')
('namer', 'reman')
('delf', 'fled')
('emes', 'seme')
('aril', 'lira')
('gut', 'tug')
('dot', 'tod')
('deil', 'lied')
('hales', 'selah')
('liar', 'rail')
('got', 'tog')
('cud', 'duc')
('lap', 'pal')
('redes', 'seder')
('nolos', 'solon')
('dim', 'mid')
('cap', 'pac')
('it', 'ti')
('bard', 'drab')
('em', 'me')
('get', 'teg')
('neep', 'peen')
('mils', 'slim')
('draws', 'sward')
('pees', 'seep')
('mis', 'sim')
('spat', 'taps')
('elides', 'sedile')
('bird', 'drib')
('edile', 'elide')
('dom', 'mod')
('gals', 'slag')
('way', 'yaw')
('nu', 'un')
('snot', 'tons')
('lever', 'revel')
('lees', 'seel')
('mot', 'tom')
('lair', 'rial')
('ajar', 'raja')
('redips', 'spider')
('duel', 'leud')
('swot', 'tows')
('bid', 'dib')
('mho', 'ohm')
('raw', 'war')
('six', 'xis')
('bows', 'swob')
('snoot', 'toons')
('nips', 'spin')
('hey', 'yeh')
('new', 'wen')
('ports', 'strop')
('skips', 'spiks')
('snaw', 'wans')
('big', 'gib')
('stow', 'wots')
('dor', 'rod')
('dees', 'seed')
('mar', 'ram')
('kay', 'yak')
('os', 'so')
('meter', 'retem')
('mart', 'tram')
('dual', 'laud')
('pat', 'tap')
('lin', 'nil')
('looter', 'retool')
('dewans', 'snawed')
('edit', 'tide')
('sprat', 'tarps')
('bas', 'sab')
('enol', 'lone')
('ate', 'eta')
('paws', 'swap')
('spit', 'tips')
('rats', 'star')
('bad', 'dab')
('rees', 'seer')
('poons', 'snoop')
('gum', 'mug')
('dray', 'yard')
('ow', 'wo')
('reflet', 'telfer')
('depots', 'stoped')
('lion', 'noil')
('maws', 'swam')
('gan', 'nag')
('burg', 'grub')
('nos', 'son')
('mir', 'rim')
('bud', 'dub')
('jar', 'raj')
('leets', 'steel')
('gums', 'smug')
('gip', 'pig')
('bur', 'rub')
('now', 'won')
('ben', 'neb')
('bis', 'sib')
('dig', 'gid')
('even', 'neve')
('flog', 'golf')
('tort', 'trot')
('doom', 'mood')
('leper', 'repel')
('relit', 'tiler')
('emit', 'time')
('sirs', 'sris')
('marcs', 'scram')
('keels', 'sleek')
('sat', 'tas')
('devil', 'lived')
('arris', 'sirra')
('gnat', 'tang')
('rat', 'tar')
('gar', 'rag')
('par', 'rap')
('bun', 'nub')
('kips', 'spik')
('scares', 'seracs')
('seeks', 'skees')
('hop', 'poh')
('secret', 'terces')
('loops', 'spool')
('avo', 'ova')
('devas', 'saved')
('stows', 'swots')
('dos', 'sod')
('snit', 'tins')
('nit', 'tin')
('larum', 'mural')
('knar', 'rank')
('las', 'sal')
('trow', 'wort')
('duo', 'oud')
('peels', 'sleep')
('demit', 'timed')
('pets', 'step')
('nip', 'pin')
('er', 're')
('pis', 'sip')
('recaps', 'spacer')
('loom', 'mool')
('pols', 'slop')
('buns', 'snub')
('pow', 'wop')
('deliver', 'reviled')
('habus', 'subah')
('deke', 'eked')
('mon', 'nom')
('straw', 'warts')
('bos', 'sob')
('staw', 'wats')
('depot', 'toped')
('smuts', 'stums')
('daw', 'wad')
('gel', 'leg')
('cram', 'marc')
('fool', 'loof')
('burd', 'drub')
('at', 'ta')
('redrawer', 'rewarder')
('part', 'trap')
('ates', 'seta')
('saw', 'was')
('dial', 'laid')
('oot', 'too')
('snips', 'spins')
('guns', 'snug')
('diols', 'sloid')
('eat', 'tae')
('snaps', 'spans')
('airts', 'stria')
('knaps', 'spank')
('leer', 'reel')
('dens', 'sned')
('put', 'tup')
('snaws', 'swans')
('gam', 'mag')
('derat', 'tared')
('pools', 'sloop')
('raps', 'spar')
('loons', 'snool')
('pots', 'stop')
('abut', 'tuba')
('ay', 'ya')
('nuts', 'stun')
('derats', 'stared')
('reflow', 'wolfer')
('denier', 'reined')
('bat', 'tab')
('ban', 'nab')
('nut', 'tun')
('bed', 'deb')
('net', 'ten')
('girt', 'trig')
('emits', 'stime')
('paw', 'wap')
('spirt', 'trips')
('ados', 'soda')
('dew', 'wed')
('deep', 'peed')
('lares', 'seral')
('do', 'od')
('lop', 'pol')
('anger', 'regna')
('stew', 'wets')
('deem', 'meed')
('spots', 'stops')
('drail', 'liard')
('oat', 'tao')
('hoop', 'pooh')
('dels', 'sled')
('loots', 'stool')
('dups', 'spud')
('redraw', 'warder')
('draw', 'ward')
('knits', 'stink')
('rebut', 'tuber')
('spot', 'tops')
('dup', 'pud')
('deifier', 'reified')
('may', 'yam')
('pows', 'swop')
('are', 'era')
('dialer', 'relaid')
('parts', 'strap')
('gats', 'stag')
('etas', 'sate')
('per', 'rep')
('ah', 'ha')
('ares', 'sera')
('rot', 'tor')
('tew', 'wet')
('cam', 'mac')
('sit', 'tis')
('moor', 'room')
('taw', 'wat')
('sloops', 'spools')
('sports', 'strops')
('pit', 'tip')
('tow', 'wot')
('no', 'on')
('emir', 'rime')
('hap', 'pah')
('not', 'ton')
('rebus', 'suber')
('gal', 'lag')
('animes', 'semina')
('deer', 'reed')
('sprits', 'stirps')
('nus', 'sun')
('dirts', 'strid')
('fires', 'serif')
('reknit', 'tinker')
('naps', 'span')
('bins', 'snib')
('snow', 'wons')
('swat', 'taws')
('gas', 'sag')
('muts', 'stum')
('brag', 'garb')
('lager', 'regal')
('guls', 'slug')
('repins', 'sniper')
('buts', 'stub')
('arum', 'mura')
('smart', 'trams')
('dorp', 'prod')
('pans', 'snap')
('pay', 'yap')
('debut', 'tubed')
('maes', 'seam')
('gul', 'lug')
('anon', 'nona')
('sleeps', 'speels')
('alif', 'fila')
('strow', 'worts')
('amen', 'nema')
('am', 'ma')
('door', 'rood')
('bin', 'nib')
('ad', 'da')
('defer', 'refed')
('moot', 'toom')
('agas', 'saga')
('gat', 'tag')
('struts', 'sturts')
('pins', 'snip')
('nap', 'pan')
('gnats', 'stang')
('gnar', 'rang')
('keel', 'leek')
('flow', 'wolf')
('bog', 'gob')
('dap', 'pad')
('bag', 'gab')
('bals', 'slab')
('gulp', 'plug')
('ervil', 'livre')
('ergo', 'ogre')
('loot', 'tool')
('evil', 'live')
('gnus', 'sung')
('ante', 'etna')
('denies', 'seined')
('res', 'ser')
('slit', 'tils')
('aider', 'redia')
('puris', 'sirup')
('notes', 'seton')
('denim', 'mined')
('sway', 'yaws')
('pas', 'sap')
('cares', 'serac')
('oohs', 'shoo')
('dahs', 'shad')
('fer', 'ref')
('keep', 'peek')
('remit', 'timer')
('dinar', 'ranid')
('dedal', 'laded')
('dormin', 'nimrod')
('sallets', 'stellas')
('sow', 'wos')
